headline,url,author,pubdate
Inaugural EUG Parade drew thousands of spectators downtown,http://registerguard.com/rg/photo/35817178-321/inaugural-eug-parade-drew-thousands-of-spectators-downtown.html.csp,Rhianna Gelhart,2017-07-30 20:27:01
The Lane County Fair,http://registerguard.com/rg/photo/35782571-321/the-lane-county-fair.html.csp,Staff,2017-07-19 17:19:01
The 2017 Butte to Butte,http://registerguard.com/rg/photo/35737563-321/the-2017-butte-to-butte.html.csp,August Frank,2017-07-04 12:37:01
Eugene Pro Rodeo celebrates 26th anniversary,http://registerguard.com/rg/photo/35731859-321/eugene-pro-rodeo-celebrates-26th-anniversary.html.csp,Photography Staff,2017-07-02 10:27:01
World War II era aircraft visit Corvallis,http://registerguard.com/rg/photo/35680982-321/world-war-ii-era-aircraft-visit-corvallis.html.csp,Andy Nelson,2017-06-15 17:39:01
The NCAA Women's Track and Field Championships,http://registerguard.com/rg/photo/35662111-321/the-ncaa-womens-track-and-field-championships.html.csp,"Andy Nelson, Brian Davies and Collin Andrew",2017-06-09 18:06:00
The NCAA Men's Track and Field Championships,http://registerguard.com/rg/photo/35658991-321/the-ncaa-mens-track-and-field-championships.html.csp,Andy Nelson and Brian Davies,2017-06-08 18:44:01
2017 Prefontaine Classic,http://registerguard.com/rg/photo/35619607-321/2017-prefontaine-classic.html.csp,"Brian Davies, Carl Davaz and Andy Nelson",2017-05-26 22:48:01
Oregon Ducks softball rallies in seventh inning to beat Kentucky Wildcats and head to Women’s College World Series,http://registerguard.com/rg/photo/35619131-321/megan-kleist-tosses-a-gem-to-lead-oregon-ducks-softball-to-victory-in-ncaa-super-regional-opener.html.csp,Collin Andrew,2017-05-26 20:23:01
Oregon Softball NCAA Regional,http://registerguard.com/rg/photo/35600757-321/oregon-softball-ncaa-regional.html.csp,Chris Pietsch,2017-05-21 12:33:00
2017 Bark in the Park,http://registerguard.com/rg/photo/35600724-321/2017-bark-in-the-park.html.csp,Chris Pietsch,2017-05-21 12:11:02
Athletes compete at state,http://registerguard.com/rg/photo/35596094-321/athletes-compete-at-state.html.csp,"Collin Andrew, Brian Davies and Andy Nelson",2017-05-19 17:09:01
Day two coverage of the 2017 Pac-12 Track & Field Championships,http://registerguard.com/rg/photo/35580416-321/day-two-coverage-of-the-2017-pac-12-track--field-championships.html.csp,Andy Nelson and Collin Andrew,2017-05-14 21:29:01
Day one coverage of the 2017 Pac-12 Track & Field Championships,http://registerguard.com/rg/photo/35578129-321/day-one-coverage-of-the-2017-pac-12-track--field-championships.html.csp,Andy Nelson and Collin Andrew,2017-05-13 21:51:01
Immigrants become U.S. citizens during naturalization ceremony,http://registerguard.com/rg/photo/35573917-321/immigrants-become-u.s.-citizens-during-naturalization-ceremony.csp,Brian Davies,2017-05-12 14:15:33
Tamolitch Falls comes to life,http://registerguard.com/rg/photo/35566900-321/tamolitch-falls-comes-to-life.html.csp,Andy Nelson,2017-05-10 11:07:01
The 2017 Eugene Marathon,http://registerguard.com/rg/photo/35557677-321/the-2017-eugene-marathon.html.csp,Chris Pietsch,2017-05-07 11:24:01
The 6th Annual Big O Roller Derby Tournament gets under way,http://registerguard.com/rg/photo/35553266-321/the-6th-annual-big-o-roller-derby-tournament-gets-under-way.html.csp,Andy Nelson,2017-05-05 18:13:00
Spring Has Sprung!,http://registerguard.com/rg/photo/35545127-321/spring-has-sprung.html.csp,Photo Staff,2017-05-03 11:12:01
Ducks baseball falls into sixth-place tie with Stanford,http://registerguard.com/rg/photo/35509490-321/ducks-baseball-falls-into-sixth-place-tie-with-stanford.html.csp,Collin Andrew,2017-04-22 07:45:01
Fleeting garden’s lasting impression,http://registerguard.com/rg/photo/35499623-321/fleeting-gardens-lasting-impression.html.csp,Kelly Lyon,2017-04-19 12:09:18
New beehives arrive at Oak Hill School,http://registerguard.com/rg/photo/35495953-321/new-beehives-arrive-at-oak-hill-school.html.csp,Brian Davies,2017-04-18 11:52:01
A bald eagle steals a salmon from an osprey,http://registerguard.com/rg/photo/35492820-321/a-bald-eagle-steals-a-salmon-from-an-osprey.html.csp,Brian Davies,2017-04-17 11:23:01
Egg seekers gather for annual MEGGA Hunt in Springfield,http://registerguard.com/rg/photo/35489551-321/egg-seekers-gather-for-annual-megga-hunt-in-springfield.html.csp,Collin Andrew,2017-04-15 23:27:01
U.S. Rep. Greg Walden hears from critics at town hall in Bend,http://registerguard.com/rg/photo/35483616-321/u.s.-rep.-greg-walden-hears-from-critics-at-town-hall-in-bend.csp,Collin Andrew,2017-04-13 23:15:01
