headline,url,author,pubdate,video
Eight seconds on a load of TNT,http://registerguard.com/rg/video/36497417-319/eight-seconds-on-a-load-of-tnt.html.csp,Chris Pietsch,2018-02-27 13:47:01,https://youtu.be/Jya-jYQvC74
Bubbly mead making a buzz,http://registerguard.com/rg/video/36496721-319/bubbly-mead-making-a-buzz.html.csp,Kelly Lyon,2018-02-27 09:32:01,https://youtu.be/IWoA9530SLQ
Aging Entertainers,http://registerguard.com/rg/video/36472247-319/aging-entertainers.html.csp,Kelly Lyon,2018-02-20 20:31:02,https://youtu.be/LHN9tXzZR7U
A quest for quiet,http://registerguard.com/rg/video/36463589-319/a-quest-for-quiet.html.csp,Kelly Lyon,2018-02-18 08:12:44,https://youtu.be/xlFtmnuwmhQ
Tell me a story,http://registerguard.com/rg/video/36449982-319/tell-me-a-story.html.csp,Kelly Lyon,2018-02-14 20:16:02,https://youtu.be/WJJ0Hh4-x9M
Rock Slide Closes Aufderheide Drive,http://registerguard.com/rg/video/36436190-319/rock-slide-closes-aufderheide-drive.html.csp,Rob Romig,2018-02-11 12:13:01,https://youtu.be/A51XvwYmzjM
Gearing up,http://registerguard.com/rg/video/36398130-319/gearing-up.html.csp,Kelly Lyon,2018-01-31 15:18:02,https://youtu.be/-5fF7n1cDn8
Good Walks: Go behind the scenes at Shellburg Falls,http://registerguard.com/rg/video/36381286-319/good-walks-go-behind-the-scenes-at-shellburg-falls.html.csp,Kim Gilbert,2018-01-26 11:26:25,https://youtu.be/gfQcFDysXK4
Competitive noses,http://registerguard.com/rg/video/36378356-319/competitive-noses.html.csp,Kelly Lyon,2018-01-25 16:17:01,https://youtu.be/Mw2DvrpCtTg
Culture carvings,http://registerguard.com/rg/video/36365571-319/culture-carvings.html.csp,Kelly Lyon,2018-01-22 08:56:02,https://youtu.be/iVycI2AJrtM
Storm on the Oregon coast,http://registerguard.com/rg/video/36358150-319/storm-on-the-oregon-coast.html.csp,Chris Pietsch,2018-01-19 20:25:01,https://youtu.be/VbvTRcrnQ8Q
Community conversation,http://registerguard.com/rg/video/36351189-319/community-conversation.html.csp,Kelly Lyon,2018-01-17 22:40:01,https://youtu.be/-KExjb_cojA
A poem to Eugene on MLK Day,http://registerguard.com/rg/video/36343273-319/a-poem-to-eugene-on-mlk-day.html.csp,Chris Pietsch,2018-01-15 16:38:02,https://youtu.be/_cFl4zztexQ
Three shot in Springfield,http://registerguard.com/rg/video/36340157-319/three-shot-in-springfield.html.csp,Chris Pietsch,2018-01-14 14:33:01,https://youtu.be/DSX4J_6KEXo
Printing with passion,http://registerguard.com/rg/video/36316285-319/printing-with-passion.html.csp,Kelly Lyon,2018-01-06 20:49:15,https://youtu.be/yJUJDbfgCkQ
Oregon Horse Rescue,http://registerguard.com/rg/video/36308096-319/oregon-horse-rescue.html.csp,Dylan Darling,2018-01-04 11:07:01,https://youtu.be/Zt5GzwcVRCw
A village is born,http://registerguard.com/rg/video/36291408-319/a-village-is-born.html.csp,Kelly Lyon,2017-12-29 12:30:02,https://youtu.be/pYQ6XXrzTHI
Tell me a story,http://registerguard.com/rg/video/36273694-319/tell-me-a-story.html.csp,Kelly Lyon,2017-12-21 17:09:02,https://youtu.be/wKJP9pYCMjc
Oregon early Signing Day,http://registerguard.com/rg/video/36270190-319/oregon-early-signing-day.html.csp,Chris Pietsch,2017-12-20 16:40:00,https://youtu.be/EpUf2J1JKy0
Ducks at the Vegas Bowl,http://registerguard.com/rg/video/36247393-319/ducks-at-the-vegas-bowl.html.csp,Chris Pietsch,2017-12-13 12:43:02,https://youtu.be/CqaMxQfG3KY
Ai Wei Wei exhibit comes to Jordan Schnitzer Museum of Art,http://registerguard.com/rg/video/36228519-319/ai-wei-wei-exhibit-comes-to-jordan-schnitzer-museum-of-art.html.csp,Kelly Lyon,2017-12-07 09:18:02,https://youtu.be/77VdQCgd5dU
Lane County’s rising stars,http://registerguard.com/rg/video/36224672-319/lane-countys-rising-stars.html.csp,Kelly Lyon,2017-12-06 09:54:02,https://www.youtube.com/watch?v=yAIb_6A6SyU
Educating with fire,http://registerguard.com/rg/video/36205594-319/educating-with-fire.html.csp,Kelly Lyon,2017-11-30 17:07:01,https://youtu.be/3p1UiJUVAeA
Good Walks: Stroll by the seashore,http://registerguard.com/rg/video/36183496-319/good-walks-stroll-by-the-seashore.html.csp,Kim Gilbert,2017-11-24 11:59:10,https://youtu.be/9OVZaZLMgFk
Tastes of a Venetian evening,http://registerguard.com/rg/video/36181484-319/tastes-of-a-venetian-evening.html.csp,Kelly Lyon,2017-11-23 11:22:00,https://youtu.be/y-Kc3SxaCCI
Heirlooms abound,http://registerguard.com/rg/video/36178286-319/heirlooms-abound.html.csp,Kelly Lyon,2017-11-22 12:48:01,https://youtu.be/TVv7QgVLVq8
Ochoa's Queseria,http://registerguard.com/rg/video/36174573-319/ochoas-queseria.html.csp,Kelly Lyon,2017-11-21 11:26:01,https://youtu.be/WZvDlUU3-bY
Oregon QB Herbert is back!,http://registerguard.com/rg/video/36167723-319/oregon-qb-herbert-is-back.html.csp,Chris Pietsch,2017-11-19 12:43:19,https://youtu.be/65K4kJUIP9E
Tell me a story,http://registerguard.com/rg/video/36145442-319/tell-me-a-story.html.csp,Kelly Lyon,2017-11-13 10:56:01,https://youtu.be/Fbn4rTWboRo
A pianist's grand life,http://registerguard.com/rg/video/36123425-319/a-pianists-grand-life.html.csp,Kelly Lyon,2017-11-06 17:32:00,https://youtu.be/-ttzbQbr3sM
Ghost on the coast,http://registerguard.com/rg/video/36103690-319/ghost-on-the-coast.html.csp,Chris Pietsch,2017-10-31 12:26:00,https://youtu.be/sgXuVSjLYaQ
Oregon's Charles Nelson on his first TD pass,http://registerguard.com/rg/video/36097828-319/oregons-charles-nelson-on-his-first-td-pass.html.csp,Chris Pietsch,2017-10-29 15:14:05,https://youtu.be/kdynPcKIza0
Drone view of new development,http://registerguard.com/rg/video/36094877-319/drone-view-of-new-development.html.csp,Rob Romig,2017-10-29 00:26:02,https://youtu.be/bffMc2DMmiQ
48th Annual Eugene ski swap,http://registerguard.com/rg/video/36091525-319/48th-annual-eugene-ski-swap.html.csp,Collin Andrew,2017-10-27 13:00:01,https://youtu.be/j8Lj_z8VtvM
Good Walks: Sanctuary at Portland Japanese Garden,http://registerguard.com/rg/video/36091206-319/good-walks-sanctuary-at-portland-japanese-garden.html.csp,Kim Gilbert,2017-10-27 12:35:17,https://youtu.be/3xtlp-1q8MU
Tell me a story,http://registerguard.com/rg/video/36082684-319/tell-me-a-story.html.csp,Kelly Lyon,2017-10-24 19:12:01,https://www.youtube.com/watch?v=wMkAM6AYjFM
Drone view of large pot farm,http://registerguard.com/rg/video/36070033-319/story.csp,Rob Romig,2017-10-21 21:55:01,https://youtu.be/J4da124kfbE
"Signed, sealed, delivered",http://registerguard.com/rg/video/36062735-319/signed-sealed-delivered.html.csp,Kelly Lyon,2017-10-19 14:46:19,https://youtu.be/r1c4_obwldw
The Press Box: Oregon vs. UCLA,http://registerguard.com/rg/video/36067096-319/the-press-box-oregon-vs.-ucla.csp,Chris Pietsch,2017-10-19 14:31:00,https://youtu.be/brWXVrOxZsY
Cannabis harvest party,http://registerguard.com/rg/video/36062729-319/cannabis-harvest-party.html.csp,Kelly Lyon,2017-10-18 08:46:34,https://youtu.be/oWf8a_6KpkU
The Oregon defense prepares for Love,http://registerguard.com/rg/video/36047035-319/the-oregon-defense-prepares-for-love.html.csp,Chris Pietsch,2017-10-12 17:17:01,https://youtu.be/8fjR4rDwaIU
Oregon Football: Freeman is back as QBs battle,http://registerguard.com/rg/video/36022928-319/oregon-football-freeman-is-back-as-qbs-battle.html.csp,Chris Pietsch,2017-10-04 13:41:01,https://www.youtube.com/watch?v=Dxp48sVEl-g
Press Box Q&A: What’s up with the Pac-12 after dark?,http://registerguard.com/rg/video/36020314-319/press-box-qa-whats-up-with-the-pac-12-after-dark.html.csp,Chris Pietsch,2017-10-03 14:41:01,https://youtu.be/2RVptD81oro
Good Walks: Hues and views on Dimple Hill,http://registerguard.com/rg/video/36007157-319/good-walks-hues-and-views-on-dimple-hill.html.csp,Kim Gilbert,2017-09-29 11:07:07,https://youtu.be/FsEhpLz751Q
No excuses from Oregon O-line,http://registerguard.com/rg/video/36000347-319/no-excuses-from-oregon-o-line.html.csp,Chris Pietsch,2017-09-27 11:23:01,https://youtu.be/sJrzUNHx8AU
Press Box Q&A: Bigger seats and more parking?,http://registerguard.com/rg/video/35993349-319/press-box-qa-bigger-seats-and-more-parking.html.csp,Chris Pietsch,2017-09-25 10:35:01,https://youtu.be/sv9gN4tEaDQ
Press Box Q&A: Nike and the budget?,http://registerguard.com/rg/video/35980832-319/press-box-qa-nike-and-the-budget.html.csp,Chris Pietsch,2017-09-21 10:01:01,https://youtu.be/EcJtU2UteGQ
The Press Box: Oregon's Pac-12 season begins,http://registerguard.com/rg/video/35978025-319/the-press-box-oregons-pac-12-season-begins.html.csp,Chris Pietsch,2017-09-20 12:36:02,https://youtu.be/9mxI3wS1GPo
Press Box Q&A: What keeps Rob Mullens up at night?,http://registerguard.com/rg/video/35973110-319/press-box-qa-what-keeps-rob-mullens-up-at-night.html.csp,Chris Pietsch,2017-09-18 21:10:01,https://youtu.be/IBV3FE6zCpw
Press Box: Post-game analysis of Oregon at Wyoming,http://registerguard.com/rg/video/35971294-319/press-box-post-game-analysis-of-oregon-at-wyoming.html.csp,Brian Davies,2017-09-18 09:36:01,https://youtu.be/E7jQWUqDKtg
Tell me a story,http://registerguard.com/rg/video/35970396-319/tell-me-a-story.html.csp,Kelly Lyon,2017-09-17 21:50:02,https://youtu.be/sxkATWaUxow
Emx goes west,http://registerguard.com/rg/video/35968175-319/emx-goes-west.html.csp,Kelly Lyon,2017-09-17 08:21:21,https://youtu.be/zu0Aw0J-w6g
Oregon set to meet Wyoming,http://registerguard.com/rg/video/35960545-319/oregon-set-to-meet-wyoming.html.csp,August Frank,2017-09-14 18:40:02,https://youtu.be/R0y1pJ2wHi8
The Long Road Home,http://registerguard.com/rg/video/35955623-319/the-long-road-home.html.csp,August Frank,2017-09-13 09:52:01,https://youtu.be/sQJ2N6K9WNk
Officer shooting update,http://registerguard.com/rg/video/35954078-319/officer-shooting-update.html.csp,Chris Pietsch,2017-09-12 19:57:01,https://youtu.be/wLuDcAjk-o8
McKenzie residents on alert,http://registerguard.com/rg/video/35937916-319/mckenzie-residents-on-alert.html.csp,Kelly Lyon,2017-09-07 17:19:02,https://youtu.be/1dty7AOaf-4
Saving Multnomah Falls,http://registerguard.com/rg/video/35934696-319/saving-multnomah-falls.html.csp,Chris Pietsch,2017-09-06 19:06:02,https://youtu.be/aA03dGNBhlg
Dealing with wildfire smoke,http://registerguard.com/rg/video/35933018-319/dealing-with-wildfire-smoke.html.csp,Chris Pietsch,2017-09-06 10:39:01,https://youtu.be/lExN3EzSEbg
Press conference from the Eagle Creek Fire,http://registerguard.com/rg/video/35931690-319/press-conference-from-the-eagle-creek-fire.html.csp,Chris Pietsch,2017-09-05 23:29:01,https://youtu.be/YAYzAJSj87Y
"Oregon Football: ""Swag Surfing""",http://registerguard.com/rg/video/35926933-319/oregon-football-swag-surfing.html.csp,Chris Pietsch,2017-09-04 14:21:01,https://youtu.be/G-J6QD3TVD0
Olden times at Fort Umpqua,http://registerguard.com/rg/video/35916661-319/olden-times-at-fort-umpqua.html.csp,Kelly Lyon The Register-Guard,2017-09-01 11:30:41,https://youtu.be/8X8TzoF0LOw
Oregon Football: Game week,http://registerguard.com/rg/video/35913704-319/oregon-football-game-week.html.csp,Chris Pietsch,2017-08-31 15:03:02,https://youtu.be/6QHTT8bulwM
Bringing braggot into a new era,http://registerguard.com/rg/video/35902299-319/bringing-braggot-into-a-new-era.html.csp,Kelly Lyon,2017-08-28 10:47:31,https://youtu.be/bJkpsMwXxcs
"Good Walks: Sand, tree, lake and sea",http://registerguard.com/rg/video/35894514-319/good-walks-sand-tree-lake-and-sea.html.csp,Kim Gilbert,2017-08-25 15:33:00,https://youtu.be/3hmyrjxcG40
"Lion & Owl, a moving new brunch experience",http://registerguard.com/rg/video/35887342-319/lion--owl-a-moving-new-brunch-experience.html.csp,Kelly Lyon,2017-08-23 09:22:04,https://youtu.be/E0-f8j0CCWE
Out of this world experience,http://registerguard.com/rg/video/35882044-319/out-of-this-world-experience.html.csp,Kelly Lyon,2017-08-21 14:16:01,https://youtu.be/fOmmw_OA3fE
Capturing the eclipse by balloon,http://registerguard.com/rg/video/35879148-319/capturing-the-eclipse-by-balloon.html.csp,Kelly Lyon,2017-08-20 14:15:01,https://youtu.be/cIigx6B4tJg
Total eclipse experience,http://registerguard.com/rg/video/35877131-319/total-eclipse-experience.html.csp,Kelly Lyon,2017-08-19 17:15:01,https://youtu.be/7i2dIipZhwk
The Press Box: Oregon football preview,http://registerguard.com/rg/video/35864316-319/press-box-oregon-football-preview.html.csp,Chris Pietsch and August Frank,2017-08-15 20:47:31,https://youtu.be/xrqVQjOYlho
Press Box: Oregon football preview,http://registerguard.com/rg/video/35864316-319/press-box-oregon-football-preview.html.csp,Chris Pietsch and August Frank,2017-08-15 13:31:01,https://youtu.be/xrqVQjOYlho
Coburg Car Classic,http://registerguard.com/rg/video/35853009-319/coburg-car-classic.html.csp,August Frank,2017-08-11 13:38:01,https://youtu.be/jkEdmhsxnuE
Tennis everyone?,http://registerguard.com/rg/video/35845668-319/tennis-everyone.html.csp,Kelly Lyon,2017-08-09 07:41:23,https://www.youtube.com/watch?v=RGpRzHpwZHU
Heat Wave: How hot does a car really get?,http://registerguard.com/rg/video/35828828-319/heat-wave-how-hot-does-a-car-really-get.html.csp,Julia Reihs and Rob Romig,2017-08-03 13:32:01,https://www.youtube.com/watch?v=LJN9bH08c28
Smokin’ Hot,http://registerguard.com/rg/video/35828174-319/smokin-hot.html.csp,Kelly Lyon,2017-08-03 09:22:01,https://youtu.be/DI0jMnX1PRs
Letting a river run free,http://registerguard.com/rg/video/35793282-319/letting-a-river-run-free.html.csp,Kelly Lyon,2017-07-23 08:24:21,https://www.youtube.com/watch?v=4k_ghYH5nrU
Big Fun on Day One!,http://registerguard.com/rg/video/35786067-319/big-fun-on-day-one.html.csp,August Frank,2017-07-20 16:31:00,https://www.youtube.com/watch?v=P0o7b0gjZgE
Buzz Catchers,http://registerguard.com/rg/video/35784282-319/buzz-catchers.html.csp,Kelly Lyon,2017-07-20 07:28:24,https://www.youtube.com/watch?v=_S1zrM1J9d0
DanceAbility: Redefining art,http://registerguard.com/rg/video/35766952-319/danceability-redefining-art.html.csp,August Frank,2017-07-14 10:12:01,https://www.youtube.com/watch?v=FDqUtTN1HLo
Forrest’s formula,http://registerguard.com/rg/video/35766635-319/forrests-formula.html.csp,Kelly Lyon,2017-07-14 08:03:02,https://www.youtube.com/watch?v=TUb6FEBcdLw
Topical therapies,http://registerguard.com/rg/video/35761300-319/topical-therapies.html.csp,Kelly Lyon,2017-07-12 11:54:02,https://www.youtube.com/watch?v=At1feiTYGag
Where the past is present,http://registerguard.com/rg/video/35752341-319/where-the-past-is-present.html.csp,Kelly Lyon,2017-07-09 09:41:01,https://www.youtube.com/watch?v=1Ot3MBNAI4Q
2017 Oregon Country Fair,http://registerguard.com/rg/video/35750249-319/2017-oregon-country-fair.html.csp,August Frank,2017-07-08 13:27:16,https://www.youtube.com/watch?v=mH8tqsTktMw
Purple fields of majesty,http://registerguard.com/rg/video/35746773-319/purple-fields-of-majesty.html.csp,Kelly Lyon,2017-07-07 09:18:16,https://www.youtube.com/watch?v=W856JXcvpoA
Public Performance,http://registerguard.com/rg/video/35743082-319/public-performance.html.csp,Kelly Lyon,2017-07-06 07:37:21,https://www.youtube.com/watch?v=3-RbDGNu64M
Eugene Yacht Club sailing school,http://registerguard.com/rg/video/35724338-319/eugene-yacht-club-sailing-school.html.csp,August Frank,2017-06-29 17:31:01,https://www.youtube.com/watch?v=CJDOscPp40w
Creative chains,http://registerguard.com/rg/video/35681810-319/creative-chains.html.csp,Kelly Lyon,2017-06-15 22:40:00,https://www.youtube.com/watch?v=4SBedTcbvZY
Duck rescue,http://registerguard.com/rg/video/35672577-319/duck-rescue.html.csp,Doug Mozan,2017-06-13 11:05:01,https://www.youtube.com/watch?v=jbHfdqpfjq8
Splash of colors,http://registerguard.com/rg/video/35662938-319/splash-of-colors.html.csp,Kelly Lyon,2017-06-09 22:36:01,https://www.youtube.com/watch?v=K-psnQXfAJ4
A taste of Salt & Sweet Wine Bar,http://registerguard.com/rg/video/35638725-319/a-taste-of-salt--sweet-wine-bar.html.csp,Kelly Lyon,2017-06-02 11:43:02,https://www.youtube.com/watch?v=LF2mDsZLQqc
Golden moment with Ashton Eaton,http://registerguard.com/rg/video/35631902-319/golden-moment-with-ashton-eaton.html.csp,Chris Pietsch,2017-05-31 10:53:01,https://www.youtube.com/watch?v=rQyYzeBeglQ
Smith River and redwoods splendors,http://registerguard.com/rg/video/35629010-319/smith-river-and-redwoods-splendors.html.csp,Kelly Lyon,2017-05-30 14:12:23,https://www.youtube.com/watch?v=jrpUhk6Jw6o
Pre Classic: Devon Allen in loaded hurdle race,http://registerguard.com/rg/video/35618067-319/pre-classic-devon-allen-in-loaded-hurdle-race.html.csp,Chris Pietsch,2017-05-26 15:02:01,https://www.youtube.com/watch?v=0c8weVH-SAU
A visit to Bluebird Hill Cellars,http://registerguard.com/rg/video/35617689-319/a-visit-to-bluebird-hill-cellars.html.csp,Kelly Lyon,2017-05-26 13:16:10,https://www.youtube.com/watch?v=elPYm4iMoAw
"Good Walks: Pinard, Moon and Spirit falls",http://registerguard.com/rg/video/35617272-319/good-walks-pinard-moon-and-spirit-falls.html.csp,Kim Gilbert,2017-05-26 10:26:30,https://www.youtube.com/watch?v=SR5AjpiJgv4
Drift Creek Falls Trail leads to eye-opening bridge,http://registerguard.com/rg/video/35615249-319/drift-creek-falls-trail-leads-to-eye-opening-bridge.html.csp,Collin Andrew,2017-05-25 16:19:58,http://www.youtube.com/watch?v=k-UVMbEeb5s
Veterans Honored,http://registerguard.com/rg/video/35612664-319/veterans-honored.html.csp,Kelly Lyon,2017-05-24 20:56:01,https://www.youtube.com/watch?v=2wH4t_U4-vM
Caffeine by the fire,http://registerguard.com/rg/video/35611606-319/caffeine-by-the-fire.html.csp,Kelly Lyon,2017-05-24 15:54:01,https://www.youtube.com/watch?v=mvWpg5DlxKM
Magically adrift,http://registerguard.com/rg/video/35606463-319/magically-adrift.html.csp,Kelly Lyon,2017-05-23 08:50:01,https://www.youtube.com/watch?v=ncGW2XzsXV4
Marvels of Marble at Oregon Caves,http://registerguard.com/rg/video/35604419-319/marvels-of-marble-at-oregon-caves.html.csp,Kelly Lyon,2017-05-22 16:06:01,https://www.youtube.com/watch?v=paI08pB1eaQ
The three jewels of Cape Arago highway,http://registerguard.com/rg/video/35593109-319/the-three-jewels-of-cape-arago-highway.html.csp,Kelly Lyon,2017-05-18 20:51:01,https://www.youtube.com/watch?v=UzmCJqdMr58
Carried away on a zipline,http://registerguard.com/rg/video/35588163-319/carried-away-on-a-zipline.html.csp,Collin Andrew,2017-05-17 10:15:52,https://www.youtube.com/watch?v=Huxx7n2MRwQ
The Columbia Gorge is awash in splendid waterfall hikes,http://registerguard.com/rg/video/35584984-319/the-columbia-gorge-is-awash-in-splendid-waterfall-hikes.html.csp,Kelly Lyon,2017-05-16 11:54:33,http://www.youtube.com/watch?v=ZKgTxGT3uWA
"Scratch that, just a myth",http://registerguard.com/rg/video/35570014-319/scratch-that-just-a-myth.html.csp,Collin Andrew,2017-05-11 09:22:16,https://www.youtube.com/watch?v=G8qmnYmxK60
Fencing gets a new home,http://registerguard.com/rg/video/35550600-319/fencing-gets-a-new-home.html.csp,Kelly Lyon,2017-05-04 20:14:01,https://www.youtube.com/watch?v=UHL6OtG-At4
Good Walks: Forest full circle,http://registerguard.com/rg/video/35529363-319/good-walks-forest-full-circle.html.csp,Kim Gilbert,2017-04-28 11:30:43,https://www.youtube.com/watch?v=syX7HrIrwBM
Volunteer of the year,http://registerguard.com/rg/video/35526616-319/volunteer-of-the-year.html.csp,Kelly Lyon,2017-04-27 15:23:09,https://www.youtube.com/watch?v=QMWeCE3zGAc
Oregon spring football update,http://registerguard.com/rg/video/35519467-319/oregon-spring-football-update.html.csp,Chris Pietsch,2017-04-25 14:47:01,https://www.youtube.com/watch?v=oxITpsbL-GI
The 1-2-3’s of CBD in cannabis,http://registerguard.com/rg/video/35515516-319/the-1-2-3s-of-cbd-in-cannabis.html.csp,Kelly Lyon,2017-04-24 11:42:02,https://www.youtube.com/watch?v=tMrFpblU_sg
Rock and Row,http://registerguard.com/rg/video/35509542-319/rock-and-row.html.csp,Kelly Lyon,2017-04-22 08:42:01,https://www.youtube.com/watch?v=g3KBDx_xqGQ
The buzz on cannabis-infused honey,http://registerguard.com/rg/video/35502643-319/the-buzz-on-cannabis-infused-honey.html.csp,Kelly Lyon,2017-04-20 07:42:20,https://www.youtube.com/watch?v=dpwaAj-3A2U
Boho Eugene bungalow,http://registerguard.com/rg/video/35499461-319/boho-eugene-bungalow.html.csp,Kelly Lyon,2017-04-19 11:21:08,https://www.youtube.com/watch?v=JA-KGyYmj-Y
"Pepsi, depth charts and the Oregon defense",http://registerguard.com/rg/video/35489926-319/pepsi-depth-charts-and-the-oregon-defense.html.csp,Chris Pietsch,2017-04-16 09:53:01,https://www.youtube.com/watch?v=QR3ycNTWuUs
Pilot describes Highway 99 landing,http://registerguard.com/rg/video/35485642-319/pilot-describes-highway-99-landing.html.csp,Chris Pietsch,2017-04-14 17:42:01,https://www.youtube.com/watch?v=iCCJZahlSKg
The return of Royce Freeman,http://registerguard.com/rg/video/35473959-319/the-return-of-royce-freeman.html.csp,Chris Pietsch,2017-04-11 11:37:01,https://www.youtube.com/watch?v=4cCFo1n4mJ8
"Oregon fans treated to rain, sleet and Ducks",http://registerguard.com/rg/video/35466952-319/oregon-fans-treated-to-rain-sleet-and-ducks.html.csp,Chris Pietsch,2017-04-09 08:52:24,https://www.youtube.com/watch?v=wua6HkCLDPs
Learn to catch a trout with a fly rod,http://registerguard.com/rg/video/35457452-319/learn-to-catch-a-trout-with-a-fly-rod.html.csp,Kelly Fenley,2017-04-07 16:18:00,https://www.youtube.com/watch?v=6wguVgktuRU
Plane crash north of Harrisburg,http://registerguard.com/rg/video/35460939-319/plane-crash-north-of-harrisburg.html.csp,Kelly Lyon,2017-04-07 14:36:00,https://www.youtube.com/watch?v=qpSx_tuCchs
Oregon’s Coach Leavitt is raring to go,http://registerguard.com/rg/video/35460505-319/oregons-coach-leavitt-is-raring-to-go.html.csp,Chris Pietsch,2017-04-07 12:18:01,https://www.youtube.com/watch?v=KIwLBTh-s30
One for the books,http://registerguard.com/rg/video/35459904-319/one-for-the-books.html.csp,Kelly Lyon,2017-04-07 07:57:22,https://www.youtube.com/watch?v=E5mA6qcHT1s
Oregon spring football begins,http://registerguard.com/rg/video/35452953-319/oregon-spring-football-begins.html.csp,Chris Pietsch,2017-04-05 13:24:01,https://www.youtube.com/watch?v=fMig5iLxQxc
Terrifying Beauty,http://registerguard.com/rg/video/35432149-319/terrifying-beauty.html.csp,Kelly Lyon,2017-03-30 07:22:22,https://www.youtube.com/watch?v=WS_S-E811aE
"New blooms, old treasures",http://registerguard.com/rg/video/35411182-319/new-blooms-old-treasures.html.csp,Kim Gilbert,2017-03-24 13:36:09,https://www.youtube.com/watch?v=DkcwI0Wbijo
A Picasso of a dog,http://registerguard.com/rg/video/35364286-319/a-picasso-of-a-dog.html.csp,Chris Pietsch,2017-03-10 07:34:23,https://www.youtube.com/watch?v=pq1kOH2zs3o
"Tasty, hearty ‘kalettes’ and fresh new strawberries",http://registerguard.com/rg/video/35360653-319/tasty-hearty-kalettes-and-fresh-new-strawberries.html.csp,Collin Andrew,2017-03-09 10:48:10,https://www.youtube.com/watch?v=Z25HPNhPorE
Spartans make it to state quarterfinals,http://registerguard.com/rg/video/35359447-319/spartans-make-it-to-state-quarterfinals.html.csp,Kelly Lyon,2017-03-08 22:18:02,https://www.youtube.com/watch?v=PG04RXMQdgM
One-of-a-kind furniture puzzles,http://registerguard.com/rg/video/35356670-319/one-of-a-kind-furniture-puzzles.html.csp,Kelly Lyon,2017-03-08 10:15:22,https://www.youtube.com/watch?v=_wkhCnyI0d8
A Hamlin tour,http://registerguard.com/rg/video/35335007-319/a-hamlin-tour.html.csp,Kelly Lyon,2017-03-02 07:31:25,https://www.youtube.com/watch?v=JPYfOzyJZI4
One smart cookie,http://registerguard.com/rg/video/35316970-319/one-smart-cookie.html.csp,Kelly Lyon,2017-02-25 07:53:22,https://www.youtube.com/watch?v=b2OVRTq2elI
New flavors at Novo,http://registerguard.com/rg/video/35308011-319/new-flavors-at-novo.html.csp,Kelly Lyon,2017-02-22 15:49:39,https://www.youtube.com/watch?v=3aCJjRwNaLU
Dainty gardens in jars,http://registerguard.com/rg/video/35288913-319/dainty-gardens-in-jars.html.csp,Collin Andrew,2017-02-16 09:03:05,https://www.youtube.com/watch?v=WSIO_sUHWHI
Be the change,http://registerguard.com/rg/video/35287755-319/be-the-change.html.csp,Kelly Lyon,2017-02-15 21:44:00,https://www.youtube.com/watch?v=j1K-MF20q80
Retro-style downsize,http://registerguard.com/rg/video/35282520-319/retro-style-downsize.html.csp,Kelly Lyon,2017-02-14 15:33:53,http://www.youtube.com/watch?v=fyERrgnrHoU
Past meets present at Deepwood estate,http://registerguard.com/rg/video/35265533-319/past-meets-present-at-deepwood-estate.html.csp,Collin Andrew,2017-02-10 13:55:40,https://www.youtube.com/watch?v=k2NV2HRXlzk
