headline,url,author,pubdate
Buzz Catchers,http://registerguard.com/rg/video/35784282-319/buzz-catchers.html.csp,Kelly Lyon,2017-07-20 07:28:24
DanceAbility: Redefining art,http://registerguard.com/rg/video/35766952-319/danceability-redefining-art.html.csp,August Frank,2017-07-14 10:12:01
Forrest’s formula,http://registerguard.com/rg/video/35766635-319/forrests-formula.html.csp,Kelly Lyon,2017-07-14 08:03:02
Topical therapies,http://registerguard.com/rg/video/35761300-319/topical-therapies.html.csp,Kelly Lyon,2017-07-12 11:54:02
Where the past is present,http://registerguard.com/rg/video/35752341-319/where-the-past-is-present.html.csp,Kelly Lyon,2017-07-09 09:41:01
2017 Oregon Country Fair,http://registerguard.com/rg/video/35750249-319/2017-oregon-country-fair.html.csp,August Frank,2017-07-08 13:27:16
Purple fields of majesty,http://registerguard.com/rg/video/35746773-319/purple-fields-of-majesty.html.csp,Kelly Lyon,2017-07-07 09:18:16
Public Performance,http://registerguard.com/rg/video/35743082-319/public-performance.html.csp,Kelly Lyon,2017-07-06 07:37:21
Eugene Yacht Club sailing school,http://registerguard.com/rg/video/35724338-319/eugene-yacht-club-sailing-school.html.csp,August Frank,2017-06-29 17:31:01
Creative chains,http://registerguard.com/rg/video/35681810-319/creative-chains.html.csp,Kelly Lyon,2017-06-15 22:40:00
Duck rescue,http://registerguard.com/rg/video/35672577-319/duck-rescue.html.csp,Doug Mozan,2017-06-13 11:05:01
Splash of colors,http://registerguard.com/rg/video/35662938-319/splash-of-colors.html.csp,Kelly Lyon,2017-06-09 22:36:01
A taste of Salt & Sweet Wine Bar,http://registerguard.com/rg/video/35638725-319/a-taste-of-salt--sweet-wine-bar.html.csp,Kelly Lyon,2017-06-02 11:43:02
Golden moment with Ashton Eaton,http://registerguard.com/rg/video/35631902-319/golden-moment-with-ashton-eaton.html.csp,Chris Pietsch,2017-05-31 10:53:01
Smith River and redwoods splendors,http://registerguard.com/rg/video/35629010-319/smith-river-and-redwoods-splendors.html.csp,Kelly Lyon,2017-05-30 14:12:23
Pre Classic: Devon Allen in loaded hurdle race,http://registerguard.com/rg/video/35618067-319/pre-classic-devon-allen-in-loaded-hurdle-race.html.csp,Chris Pietsch,2017-05-26 15:02:01
A visit to Bluebird Hill Cellars,http://registerguard.com/rg/video/35617689-319/a-visit-to-bluebird-hill-cellars.html.csp,Kelly Lyon,2017-05-26 13:16:10
"Good Walks: Pinard, Moon and Spirit falls",http://registerguard.com/rg/video/35617272-319/good-walks-pinard-moon-and-spirit-falls.html.csp,Kim Gilbert,2017-05-26 10:26:30
Drift Creek Falls Trail leads to eye-opening bridge,http://registerguard.com/rg/video/35615249-319/drift-creek-falls-trail-leads-to-eye-opening-bridge.html.csp,Collin Andrew,2017-05-25 16:19:58
Veterans Honored,http://registerguard.com/rg/video/35612664-319/veterans-honored.html.csp,Kelly Lyon,2017-05-24 20:56:01
Caffeine by the fire,http://registerguard.com/rg/video/35611606-319/caffeine-by-the-fire.html.csp,Kelly Lyon,2017-05-24 15:54:01
Magically adrift,http://registerguard.com/rg/video/35606463-319/magically-adrift.html.csp,Kelly Lyon,2017-05-23 08:50:01
Marvels of Marble at Oregon Caves,http://registerguard.com/rg/video/35604419-319/marvels-of-marble-at-oregon-caves.html.csp,Kelly Lyon,2017-05-22 16:06:01
The three jewels of Cape Arago highway,http://registerguard.com/rg/video/35593109-319/the-three-jewels-of-cape-arago-highway.html.csp,Kelly Lyon,2017-05-18 20:51:01
Carried away on a zipline,http://registerguard.com/rg/video/35588163-319/carried-away-on-a-zipline.html.csp,Collin Andrew,2017-05-17 10:15:52
The Columbia Gorge is awash in splendid waterfall hikes,http://registerguard.com/rg/video/35584984-319/the-columbia-gorge-is-awash-in-splendid-waterfall-hikes.html.csp,Kelly Lyon,2017-05-16 11:54:33
"Scratch that, just a myth",http://registerguard.com/rg/video/35570014-319/scratch-that-just-a-myth.html.csp,Collin Andrew,2017-05-11 09:22:16
Fencing gets a new home,http://registerguard.com/rg/video/35550600-319/fencing-gets-a-new-home.html.csp,Kelly Lyon,2017-05-04 20:14:01
Good Walks: Forest full circle,http://registerguard.com/rg/video/35529363-319/good-walks-forest-full-circle.html.csp,Kim Gilbert,2017-04-28 11:30:43
Volunteer of the year,http://registerguard.com/rg/video/35526616-319/volunteer-of-the-year.html.csp,Kelly Lyon,2017-04-27 15:23:09
Oregon spring football update,http://registerguard.com/rg/video/35519467-319/oregon-spring-football-update.html.csp,Chris Pietsch,2017-04-25 14:47:01
The 1-2-3’s of CBD in cannabis,http://registerguard.com/rg/video/35515516-319/the-1-2-3s-of-cbd-in-cannabis.html.csp,Kelly Lyon,2017-04-24 11:42:02
Rock and Row,http://registerguard.com/rg/video/35509542-319/rock-and-row.html.csp,Kelly Lyon,2017-04-22 08:42:01
The buzz on cannabis-infused honey,http://registerguard.com/rg/video/35502643-319/the-buzz-on-cannabis-infused-honey.html.csp,Kelly Lyon,2017-04-20 07:42:20
Boho Eugene bungalow,http://registerguard.com/rg/video/35499461-319/boho-eugene-bungalow.html.csp,Kelly Lyon,2017-04-19 11:21:08
"Pepsi, depth charts and the Oregon defense",http://registerguard.com/rg/video/35489926-319/pepsi-depth-charts-and-the-oregon-defense.html.csp,Chris Pietsch,2017-04-16 09:53:01
Pilot describes Highway 99 landing,http://registerguard.com/rg/video/35485642-319/pilot-describes-highway-99-landing.html.csp,Chris Pietsch,2017-04-14 17:42:01
The return of Royce Freeman,http://registerguard.com/rg/video/35473959-319/the-return-of-royce-freeman.html.csp,Chris Pietsch,2017-04-11 11:37:01
